ID-Lattes	Título	Ano	Tipo	Título-do-livro	P-inicial	P-final	ISBN	Editora	Palavras-chave	
2142163449017349	O PROGRAMA ARQUITETÔNICO NO PROCESSO DE PROJETO: DISCUTINDO A ARQUITETURA ESCOLAR, RESPEITANDO O OLHAR DO USUÁRIO	2012	Capítulo de livro publicado	Projetos Complexos e os Impactos na Cidade e na Paisagem	160	185	9788588341449	UFRJ FAU/PROARQ, ANTAC	['Arquitetura escolar', 'Avaliação Pós Ocupação APO', 'metodologia de projeto', 'programa arquitetônico', 'programa de necessidades', 'Processo de projeto arquitetônico']
2142163449017349	FERRAMENTAS DE AVALIAÇÃO DE PROJETOS ? APLICAÇÃO EM PROJETOS DE EDIFICAÇÕES ESCOLARES PÚBLICAS DO ESTADO DE SÃO PAULO	2012	Capítulo de livro publicado	Projetos Complexos e os Impactos na Cidade e na Paisagem	212	221	9788588341449	Editora da UFRJ	['Arquitetura escolar', 'Avaliação de Projeto Arquitetônico', 'metodologia de projeto', 'Processo de projeto arquitetônico']
2142163449017349	DESIGNING THE POSITIVE PUBLIC SCHOOL ENVIRONMENT: A BRAZILIAN PERSPECTIVE	2013	Capítulo de livro publicado	Noise and Ergonomics in the Workplace	1	33	9781624175732	Nova Science Publishers Inc.	['ambiente escolar', 'Arquitetura escolar', 'Funcionalidade', 'programa arquitetônico', 'Projeto Arquitetônico', 'Processo de projeto arquitetônico']
2142163449017349	MÉTODOS E INSTRUMENTO DE AVALIAÇÃO DESTINADOS À HABITAÇÃO DE INTERESSE SOCIAL	2013	Capítulo de livro publicado	Qualidade ambiental na habitação, Avaliação Pós-Ocupação	149	179	9788579750762	Oficina de Textos	['Avaliação de Projeto Arquitetônico', 'Conjuntos Habitacionais de Interesse Social', 'habitação social', 'metodologia de projeto', 'Processo de projeto arquitetônico']
2142163449017349	Programming for Behaviour in Educational Environments	2014	Capítulo de livro publicado	Bridging the Boundaries	157	178	9780889374669	Hogrefe Publishing	['ambiente escolar', 'comportamento humano', 'metodologia de projeto', 'programa arquitetônico', 'programa de necessidades']
2142163449017349	E agora? Uma metodologia para discutir o desenho universal em projetos padronizados	2016	Capítulo de livro publicado	Um novo olhar para o projeto: 3: A ergonomia no ambiente construído	29	47	9788557071742	Livro rápico	['Acessibilidade', 'Desenho Universal', 'Projeto Padrão', 'metodologia de projeto']
2142163449017349	O jogo da arquitetura: discutindo a acessibilidade para surdo.	2016	Capítulo de livro publicado	O jogo da arquitetura: discutindo a acessibilidade para surdo. In: Um novo olhar para o projeto: 3: A ergonomia no ambiente construído	48	69	9788557071742	Livro Rápido	['Acessibilidade', 'Desenho Universal', 'Jogos', 'surdos']
2142163449017349	Verandas en la arquitetura tradicional de Brasil	2015	Capítulo de livro publicado	Desempeño ambiental comparado de la tradición construtiva de Colima	63	82	9786078356423	Universidad de Colima	['Arquitetura Bioclimática', 'Arquitetura Vernacular', 'Autoconstrução', 'Conforto Térmico', 'Varandas', 'Vegetação']
2142163449017349	Examples of User Representation in Brazilian Housing and Need for Professional Support in the Self-Building Process	1998	Capítulo de livro publicado	Shifting Balances: Changing Roles in Policy, Research and Design	54	65	90-6814-08	EIRASS, European Institute of Retailing	['metodologia de projeto']
2542913266521798	Dirigente Sindical: Companheiro ou patrão ? Uma análise da gestão administrativa dos sindicatos de Minas Gerais	1998	Capítulo de livro publicado	Sindicalismo e Negociação Coletiva nos anos 90	339	356		IRT/PUC	[]
2542913266521798	Kollektive Arbeitsregelungen zwischen Korporatismus und autonomer Tarifpolitik in Brasilien	1997	Capítulo de livro publicado	Neoliberalismus und Arbeitsbeziehungen in Lateinamerika	201	214		Vervuet Verlag	['Sindicato', 'Relações de Trabalho']
2542913266521798	Gestão de Competências nas Organizações: Um Mosaico entre a Teoria e Pratica	2001	Capítulo de livro publicado	I Workshop Gestão de Competências nas Organizações				UFMG/IKS	['Competências Organizacionais']
2542913266521798	Relações de Trabalho, sindicalismo e gestão de recursos humanos: notas para a discussão da realidade brasileira	2003	Capítulo de livro publicado	Gestão Contemporânea de Pessoas - novas práticas, conceitos tradicionais	160	170	8536302992	Bookman	['Sindicato', 'Relações de Trabalho', 'Gestão de Recursos Humanos']
2542913266521798	A gestão de competências	2003	Capítulo de livro publicado	Gestão contemporânea de pessoas - novas práticas, conceitos tradicionais	238	265	8536302992	Bookman	['Aprendizagem Organizacional', 'Gestão de Competências']
2542913266521798	Em direção às competências sociais ? Experiências setoriais e/ou por categorias profissionais no Brasil	2010	Capítulo de livro publicado	Gestão Contemporânea de Pessoas			9788577806010	Bookman	['Competências Organizacionais', 'Relações de Trabalho', 'Gestão de Recursos Humanos', 'Gestão de Competências']
2542913266521798	O sindicalismo brasileiro e sua relevância nas relações de trabalho e RH	2010	Capítulo de livro publicado	Gestão Contemporânea de Pessoas	115	125	9788577806010	Bookman	['Sindicato', 'Gestão de Recursos Humanos', 'Relações de Trabalho']
2542913266521798	Gestão de competências: articulando indivíduos, organizações e sociedade	2010	Capítulo de livro publicado	Gestão contemporânea de pessoas	175	195	9788577806010	Bookman	['Competências Individuais', 'Competências Organizacionais', 'Gestão de Recursos Humanos', 'Gestão de Competências']
2542913266521798	Gestão de recursos humanos: realidade atual e perspectivas	2009	Capítulo de livro publicado	Estado, Empresas e Sociedade - Um Mosaico Luso-Brasileiro	15	30	9789727729500	Edições Colibri	['Gestão de Recursos Humanos']
2542913266521798	Lazer e Gestão: Competências Necessárias às Práticas de Recursos Humanos nas organizações Contemporâneas	2010	Capítulo de livro publicado	Lazer em Estudo - Currículo e Formação Profissional	205	221	9788530809034	Papirus	['Gestão de Recursos Humanos', 'Competências Organizacionais', 'Gestão de Competências', 'Lazer']
2542913266521798	Formação e Gestão de Competências Setoriais: Análise de Experiências no Brasil	2010	Capítulo de livro publicado	Recursos Humanos: Das Teorias às Boas Práticas	513	529	9789898136534	Editorial Novembro	['Competências Organizacionais', 'Gestão de Competências']
2542913266521798	Competências em Empresas Brasileiras	2010	Capítulo de livro publicado	Gestão Contemporânea de Pessoas			9788577806010	Bookman	['Competências Organizacionais', 'Competências Individuais', 'Gestão de Competências']
2542913266521798	Avaliação do Desempenho na Estratégia de Saúde da Família no Brasil: a utilização dos princípios ordenadores para a constituição de métricas	2011	Capítulo de livro publicado	O Trabalho em Saúde abordagens quantitativas e qualitativas	217	230	9788589737623	Cepesc - IMS/UERJ - ObservaRH	['Estratégia de Saúde da Família', 'Desempenho', 'Saúde e Gestão', 'Gestão Pública']
2542913266521798	Saúde no sistema prisional brasileiro: uma metodologia de avaliação	2011	Capítulo de livro publicado	Economia, Gestão e Saúde - As relações luso-brasileiras em perspectiva	169	186	9789896891534	Edições Colibri	['Administração', 'Economia', 'Saúde', 'Saúde e Gestão']
