ID-Lattes	Título	Ano	Tipo	Natureza	Volumes	Páginas	ISBN	Edição	Série	Editora	Palavras-chave	
3851480345390580	20 Experiências de gestão pública e cidadania - Ciclo de Premiação 2001	2002	LIVRO_ORGANIZADO_OU_EDICAO	COLETANEA	1	147	85-87426-0	1			[]
3851480345390580	Governo Local e Desigualdades de Gênero	2003	LIVRO_ORGANIZADO_OU_EDICAO	LIVRO		272	8574193638			Anna Blume	[]
3851480345390580	O que as Empresas podem fazer pela Erradicação da Pobreza	2003	LIVRO_PUBLICADO	TEXTO_INTEGRAL		112	8588046083			Instituto Ethos	[]
3851480345390580	Reforming the State: Managerial Public Administration in Latin America	1999	LIVRO_ORGANIZADO_OU_EDICAO	COLETANEA						Co. Lynne Rienner Publishers	[]
3851480345390580	Estratégias Locais de Combate à Pobreza	2000	LIVRO_ORGANIZADO_OU_EDICAO	COLETANEA						José Olympio	[]
3851480345390580	Vinte Experiências de Gestão Pública e Cidadania - Ciclo de Premiação 2001	2002	LIVRO_PUBLICADO	COLETANEA							[]
3851480345390580	Práticas Cotidianas e a Naturalização da Desigualdade: Uma semana de notícias nos jornais	2006	LIVRO_ORGANIZADO_OU_EDICAO	COLETANEA		213	8524912103			Editora Cortez	[]
3851480345390580	Learning from Innovations - Innovation Mobilizes Other Resources	2006	LIVRO_ORGANIZADO_OU_EDICAO	COLETANEA		60				Programa Gestão Pública e Cidadania/Innovations in Governance and Public Action Liaison Group	[]
3851480345390580	Reforma do Estado e Administração Pública Gerencial	2006	LIVRO_ORGANIZADO_OU_EDICAO	COLETANEA		316	8522502366	7ª		Editora da Fundação Getulio Vargas	[]
3851480345390580	Governance in the Americas: Decentralization, Democracy and Subnacional Government i n Brazil, Mexico and the USA.	2008	LIVRO_PUBLICADO	TEXTO_INTEGRAL	1	352	9780268044114	1		University of Notre Dame Press	[]
3851480345390580	Nueva Gestión Pública y Regulación en América Latina: Balances y Desafios	2001	LIVRO_PUBLICADO	COLETANEA	1	255				CLAD, Centro Latinoamericano de Administración para el Desarollo	[]
3851480345390580	Vinte experiências de gestão pública e cidadania - ciclo de premiação 2001	2002	LIVRO_ORGANIZADO_OU_EDICAO	COLETANEA						FGV - Programa Gestão Pública e Cidadania	[]
3851480345390580	Estratégias Locais para a Redução da Pobreza: Construindo a Cidadania	2000	LIVRO_ORGANIZADO_OU_EDICAO	COLETANEA		234				Programa Gestão Pública e Cidadania, EAESP-FGV	[]
3851480345390580	Vinte Experiências de Gestão Pública e Cidadania	1997	LIVRO_ORGANIZADO_OU_EDICAO	COLETANEA						Editora da Fundação Getulio Vargas	[]
3851480345390580	Hybrid Public Action	2009	LIVRO_ORGANIZADO_OU_EDICAO	NAO_INFORMADO	1	98	0265-5012	1	1	IDS Bulletin (Brighton)	[]
3851480345390580	Crainças e Adolescentes: situação no Semi-árido Brasileiro	2007	LIVRO_PUBLICADO	NAO_INFORMADO	1	135	9788587426147	1		Programa Gestão Pública e Governo/Unicef	[]
3851480345390580	Desenvolvimento Local com Equidade em Municípios de Pequeno Porte Populacional	2010	LIVRO_ORGANIZADO_OU_EDICAO	LIVRO	1	31	9788599720165	1	1	Dedone Editora	[]
3851480345390580	Metropolitan Governance in the Federalist Americas: Strategies for Equitable and Integrated Development	2012	LIVRO_PUBLICADO	NAO_INFORMADO			9780268041410	1		University of Notre Dame Press	[]
3851480345390580	Desenvolvimento de Políticas Públicas de Fomento Ao Empreendedorismo em Estados e Municípios	2012	LIVRO_PUBLICADO	NAO_INFORMADO	1	52	9788587426192	1	1	Programa Gestão Pública e Cidadania	[]
3851480345390580	Beyond Public Policy: A Public Action Languages Approach	2019	LIVRO_PUBLICADO	NAO_INFORMADO		256	9781788118743	1		Edward Elgar	[]
3851480345390580	Accountability in Context	2013	LIVRO_PUBLICADO	COLETANEA		200	9789563532838	1	1	Gestíon Publica e Ciudadania	[]
4923576932176873	Finanças Corporativas	2000	LIVRO_ORGANIZADO_OU_EDICAO	LIVRO	1	180	8522429790			Atlas	['Custo e estrutura de capital', 'Emissão de debêntures', 'Emissão de ações']
4923576932176873	Gestão de Risco e derivativos: aplicações no Brasil.	2001	LIVRO_ORGANIZADO_OU_EDICAO	LIVRO		274	8522429952			Atlas	['Instrumentos derivativos', 'Gestão de risco', 'Opções']
4923576932176873	Bolsas de Valores e Estratégias de Investimentos	2003	LIVRO_PUBLICADO	TEXTO_INTEGRAL	1	139				Unemat Editora	['Bolsa de Valores', 'Análise fundamentalista', 'Análise técnica', 'Estratégias de investimentos']
4923576932176873	Análise de investimentos	2009	LIVRO_PUBLICADO	NAO_INFORMADO	1	119	9788574260			UFSC/UAB	['Análise de investimentos', 'Engenharia econômica']
4923576932176873	Mercado de Capitais	2011	LIVRO_PUBLICADO	TEXTO_INTEGRAL	1	146	9788579881	1		EAD/UFSC	['Mercado de Capitais', 'Finanças']
4923576932176873	Mercado de capitais: análise empírica no Brasil	2000	LIVRO_ORGANIZADO_OU_EDICAO	LIVRO	1	216	852242733x			ATLAS	['Administracao de Carteiras', 'Modelos de preço', 'Eficiência de mercado']
5322636314530267	Fabrica y Villa Obrera; Historia Social y Antropologia de los Obreros del Cemento	1988	LIVRO_PUBLICADO	TEXTO_INTEGRAL		214				CENTRO EDITOR DE AMERICA LATINA	['America Latina', 'Classe Operaria', 'Formas de Dominacao', 'Patronagem', 'Sindicalismo', 'Vila Operaria']
5322636314530267	Os Intelectuais e a Invenção do Peronismo. Estudos de Antropologia Social e Cultural	1997	LIVRO_PUBLICADO	TEXTO_INTEGRAL	1	242	8531404177	1		USP	['America Latina', 'cultura', 'Historia Cultural', 'Intelectuais', 'nacionalismo']
5322636314530267	Identidad y Conflicto en La Sierra Mazateca. El Consejo de Ancianos de San José Tenango	1988	LIVRO_PUBLICADO	TEXTO_INTEGRAL	1	293		1		INSTITUTO NACIONAL DE ANTROPOLOGÍA E HISTORIA	['Antropologia Politica', 'Caciquismo', 'Etnicidade', 'Formas de Dominacao', 'Sistemas Politicos', 'Sociedades Camponesas']
5322636314530267	Los Intelectuales y la Invención del Peronismo. Estudios de Antropología Social y Cultural.	1998	LIVRO_PUBLICADO	TEXTO_INTEGRAL		304	9504001610	1		ALIANZA EDITORIAL	['cultura', 'Historia Cultural', 'Intelectuais', 'Nacoes', 'Seculo Xx']
5322636314530267	Anthropologies, Etats et Populations	2000	LIVRO_ORGANIZADO_OU_EDICAO	PERIODICO	1	350		1		Fudation de Synthese / CNRS	['Antropologia', 'Populações', 'Estado', 'Antropologia Aplicada']
5322636314530267	Antropologia, Impérios e Estados Nacionais	2002	LIVRO_ORGANIZADO_OU_EDICAO	LIVRO		315				Relume Dumará	['Antropologia', 'Estados Nacionais', 'Impérios']
5322636314530267	Intelectuales y Expertos . La constitución del conocimiento social en la Argentina	2004	LIVRO_ORGANIZADO_OU_EDICAO	COLETANEA	1	350				Paidós	['Argentina', 'Elites', 'Intelectuais', 'Internacionalização', 'Ciencias Sociais']
5322636314530267	Empires, Nations, and Natives: Anthropology and State-Making	2005	LIVRO_ORGANIZADO_OU_EDICAO	LIVRO	1	344	0822336286	1		Duke University Press	['Antropologia', 'Estados Nacionais']
5322636314530267	Norbert Elias. Escritos e Ensaios 1 - Estado, processo, opinião pública	2006	LIVRO_ORGANIZADO_OU_EDICAO	COLETANEA	1	239		1		Jorge Zahar	['Norbert Elias', 'Estado', 'opinião pública', 'processo']
5322636314530267	La vie sociale de l'eau / The social life of water / A vida social da água. Bel Air, Port-au-Prince, Haiti	2009	LIVRO_PUBLICADO	NAO_INFORMADO	1	95	9788561882043	1		Viva Rio / NuCEC	['Haiti', 'mercados', 'Nacoes', 'água']
