ID-Lattes	Título	Ano	DOI	Veículo	ISSN	Volume	Fascículo	Serie	P-inicial	P-final	Palavras-chave	Autores	Quantidade-autores
1911899537342394	A Nova Missão das Forças Armadas Latino-Americanas no Mundo Pós-Guerra Fria: o Caso do Brasil	2004		Revista Brasileira de Ciências Sociais (Impresso)	01026909	19	54		115	129	['Militares - Novo Papel das Forças Armadas', 'Relaçoes Civis-Militares']	CASTRO SANTOS, M. H.	1
1911899537342394	The Brazilian Miltary in Post-Democratic Transition	2004		Revista Fuerzas Armadas y Sociedad	07171498	1	18		115	146	['Relaçoes Civis-Militares', 'Democratizaçao']	CASTRO SANTOS, M. H.	1
1911899537342394	O Processo de Democratização da Terceira Onda de Democracia: quanto pesam as variáveis externas?	2010		Meridiano 47 (UnB)	15181219	115			15	18	[]	CASTRO SANTOS, M. H.	1
1911899537342394	O Papel dos Estados Unidos na Nova Ordem Internacional e as Intervençoes Militares Americanas no Pós-Guerra Fria: que lugar ocupa aí a democracia?	2010		Meridiano 47 (UnB)	15181219	117			18	22	[]	CASTRO SANTOS, M. H.	1
1911899537342394	Exportação de Democracia na Política Externa Norte-Americana no Pós-Guerra Fria:doutrinas e o uso da força	2010		Revista Brasileira de Política Internacional (Impresso)	00347329	Ano 53		nº 1	157	191	['política externa americana', 'exportação de democracia', 'uso da força', 'pós-guerra fria']	CASTRO SANTOS, M. H.	1
1911899537342394	The essential role of democracy in the Bush Doctrine: the invasions of Iraq and Afghanistan	2013	10.1590/s0034-73292013000200008	Revista Brasileira de Política Internacional (Impresso)	00347329	56		2	131	156	['Qualis/CAPES A1']	SANTOS, MARIA HELENA DE CASTRO; TEIXEIRA, ULYSSES TAVARES	2
1911899537342394	Democracy promotion under Obama: how far is it from Bush?s imposition of democracy?	2016		Mundorama	21752052	1		18/01/2016	1		[]	TEIXEIRA, Ulysses T.; CASTRO SANTOS, M. H.	2
1911899537342394	Interesses e valores na política externa de Obama	2016		Mundorama	21752052	101		Jan/2016	1		[]	CASTRO SANTOS, M. H.; TEIXEIRA, Ulysses T.; GOMES, D. C.	3
1911899537342394	Interests and Values in Obama's foreign Policy: Leading from Behind?	2015	10.1590/0034-7329201500207	Revista Brasileira de Política Internacional (Online)	19833121	58		2	119	145	[]	SANTOS, MARIA HELENA DE CASTRO; TEIXEIRA, ULYSSES TAVARES	2
1911899537342394	Que Democracia? Uma Visão Conceitual desde a Perspectiva dos Países em Desenvolvimento	2001		Dados (Rio de Janeiro. Impresso)	00115258	44	04		729	769	['democracia', 'democratização', 'governabilidade', 'Governança', 'relações Executivo-Legislativo']	CASTRO SANTOS, M. H.	1
