ID-Lattes	Título	Ano	DOI	Veículo	ISBN	Volume	Fascículo	Serie	P-inicial	P-final	Palavras-chave	
2142163449017349	O Projetista de Edificações e a Preocupação com o Conforto Térmico e Conservação de Energia em Campinas, SP	1997		IV Encontro Nacional de Conforto no Ambiente Construído - ENCAC 97		1			393	396	['Conforto Ambiental', 'metodologia de projeto']
2142163449017349	Uma Ferramenta de Avaliação da Ventilação Natural em Projetos Arquitetônicos	1997		IV Encontro Nacional de Conforto no Ambiente Construído - ENCAC 97		1			211	215	['CAD - computer aided design', 'Conforto Ambiental', 'metodologia de projeto', 'Ventilação Natural']
2142163449017349	Melhorias de Conforto ao Ambiente Educacional por Meio da Avaliação do Edifício Escolar: Estudo de Caso em duas Escolas de Primeiro Grau em São Carlos, SP	1997		IV Encontro Nacional de Conforto no Ambiente Construído - ENCAC 97		1			503	507	['Conforto Ambiental', 'Avaliação Pós Ocupação APO', 'prédios escolares']
2142163449017349	O Curso de Arquitetura e Urbanismo na UNICAMP	1997		III Seminário Nacional: A Informática no Ensino de Arquitetura							['Ensino de Projeto Arquitetônico', 'CAD - computer aided design', 'metodologia de projeto']
2142163449017349	A Informática no Projeto: Necessidade de uma Metodologia	1996		II Seminário Nacional: A Informática no Ensino de Arquitetura							['CAD - computer aided design', 'Ensino de Projeto Arquitetônico', 'metodologia de projeto']
2142163449017349	O Uso do CADD no Ensino de Projeto Arquitetônico	1996		GRAPHICA 96 Simpósio Nacional de Geometria Descritiva e Desenho Técnico							['CAD - computer aided design', 'Ensino de Projeto Arquitetônico', 'metodologia de projeto']
2142163449017349	Projetos Padrão de Conjuntos Habitacionais de Campinas e seu conforto Térmico: Análise de Possíveis Melhorias	1995		VI Encontro Nacional de Tecnologia no Ambiente Construído		1			593	598	['Conforto Ambiental', 'Simulação', 'habitação']
2142163449017349	Uma Metodologia de Projeto Arquitetônico de Apoio a Auto-construção	1995		VI Encontro Nacional de Tecnologia do Ambiente Construído ENCAC 95		1			785	794	['auto-construção', 'CAD - computer aided design', 'habitação', 'metodologia de projeto']
2142163449017349	O Uso de CAD na Avaliação e no Suporte Técnico à Auto-Construção	1995		Seminário Nacional sobre desenvolvimento Tecnológico dos Pré-Moldados e Auatoconstrução		1			221	234	['auto-construção', 'CAD - computer aided design', 'habitação', 'metodologia de projeto']
2142163449017349	Transformações de Casas Populares: Uma Avaliação	1995		III Encontro Nacional e I Encontro Latino-Americano de Conforto No Ambiente Construído		1			625	630	['auto-construção', 'habitação']
2142163449017349	O Projeto de Edícula como Casa Popular e seus Problemas de Conforto	1995		III Encontro de Conforto no Ambiente Construído e I Encontro Latino-Americano de Conforto no Ambiente Construído		1			251	256	['auto-construção', 'Conforto Ambiental', 'habitação']
2142163449017349	Casas Populares de Campinas: Estudo de sua Adequação ao Conforto Témico	1995		III Encontro Nacional de conforto no ambiente Construído e I Encontro Latino- Americano de Conforto no Ambiente Construído					203	208	['Conforto Ambiental', 'habitação']
2142163449017349	Imagens de Maquete Digital da UNICAMP	1994		II Mostra de Trabalhos da UNICAMP em Computação de Imagens					1	10	['CAD - computer aided design']
2142163449017349	Experiência do Ensino do Desenho com Abordagem Computacional	1994		Graphica 94, Simpósio Nacional de Geometria Descritiva e Desenho Técnico					251	258	['CAD - computer aided design']
2142163449017349	O Projeto Arquitetônico e o Conforto Ambiental: Necessidade de uma Metodologia	1993		ENTAC 93, Encontro Nacional de Tecnologia do ambiente Construído: Avanços em tecnologia e Gestão da Produçãode Edificações					785	794	['metodologia de projeto']
2142163449017349	Metodologia e CAD no Projeto Arquitetônico	1992		Seminário Internacional FAU-USP Computação, Arquitetura e Urbanismo					51	57	['metodologia de projeto', 'CAD - computer aided design']
2142163449017349	Necessidades, Dificuldades e Planos para a Educação Continuada em Engenharia Civil na UNICAMP	1991		COBENGE 91, Congresso Brasileiro de Ensino de Engenharia					1	10	['Ensino de Extensão em Engenharia Civil']
2142163449017349	A Murphologia de Planos Diretores	1989		Seminário: Plano Diretor Municipal					104	110	['Planejamento Urbano']
2142163449017349	Avaliação da Interferência Comportamental do Usuário para a Melhoria do Conforto Ambiental em Espaços Escolares: Estudo de Caso em Campinas-SP	2001		VI Encontro Nacional Sobre Conforto no Ambiente Construído e III Encontro Latino Americano Sobre Conforto No Ambiente construído	8590222721	I			37	38	['ambiente escolar', 'Conforto Ambiental', 'comportamento humano']
2142163449017349	Aplicação de Simulação Computacional no Projeto Padrão de Creche	2001		VI Nacional sobre Conforto no ambiente Construído e III Encontro Latino Americano sobre Conforto no Ambiente Construído	85902227	1	1		76	77	['Simulação', 'Projeto Padrão']
2142163449017349	Otimização de Projetos das Escolas da Rede Estadual de São Paulo Considerando Conforto Ambiental	2001		VI Encontro Nacional sobre Conforto no ambiente Construído e III Encontro Latino Americano sobre Conforto no ambiente Construído	8590222721	1	1		40	41	['metodologia de projeto', 'ambiente escolar', 'Otimização']
2142163449017349	Método Simplificado para a Avaliação de Iluminação Natural em Anteprojetos de Escolas de Ensino Estadual de São Paulo	2001		VI Encontro Nacional Sobre Conforto no Ambiente Construído e III Encontro Latino Americano Sobre Conforto No Ambiente construído	8590222721	1	1		128	129	['Conforto Ambiental', 'Iluminação Natural']
2142163449017349	Avaliação da Funcionalidade de Prédio Escolar da Rede Pública: O Caso de Campinas	2001		VI Encontro Nacional Sobre Conforto no Ambiente Construído e III Encontro Latino Americano Sobre Conforto No Ambiente construído	8590222721	1	1		231	232	['Avaliação Pós Ocupação APO', 'ambiente escolar', 'Conforto Ambiental', 'Funcionalidade']
2142163449017349	Aplicação de Automação em APO: um Estudo de Caso	2001		VI Encontro Nacional Sobre Conforto no Ambiente Construído e III Encontro Latino Americano Sobre Conforto No Ambiente construído	8590222721	1	1		234	235	['Avaliação Pós Ocupação APO', 'Banco de Dados', 'Automação']
2142163449017349	Divulgação do Conhecimento de Conforto Ambiental	2001		VI Encontro Nacional Sobre Conforto no Ambiente Construído e III Encontro Latino Americano Sobre Conforto No Ambiente construído	8590222721	1	1		308	309	['ambiente escolar', 'Conforto Ambiental', 'Ensino de Conforto Ambiental']
2142163449017349	Recycling Existing Building Stock in City Centers for Housing: The need for Directives	2001		18 th. International Conference on Passive and Low Energy Architecture, PLEA 2001: Renewable Energy for a Sustainable Development of the Built Environment	8590133249	1			535	539	['habitação', 'Recycling Building Stock']
2142163449017349	A CADD Environment Computer Tool for Natural Ventilation Evaluation of Architectural Designs	2001		18 th. International Conference on Passive and Low Energy Architecture, PLEA 2001: Renewable Energy for a Sustainable Development of the Built Environment	8590133224	2			979	801	['Conforto Ambiental', 'CAD - computer aided design', 'metodologia de projeto', 'Ventilação Natural']
2142163449017349	An Evaluation Method for Graded Scholl Design: Considering Optimization of Environmental Comfort Parameters	2001		18 th. International Conference on Passive and Low Energy Architecture, PLEA 2001: Renewable Energy for a Sustainable Development of the Built Environment	8590133249	2			981	985	['ambiente escolar', 'Otimização', 'Avaliação de Projeto Arquitetônico']
